Column1;Column2
;
Предположительно, четыре автомата Калашникова были задержаны на складе в одном из учреждений почты в Москве. «Во время проверки почты с использованием специализированного досмотрового оборудования в одном из сортировочных центров Московского региона специалисты службы безопасности «Почты России» выявили посылку с предметами, конструктивно схожими с оружием», — пояснили в пресс-службе «Почты России». По данным источника «Известий», посылку нашли в центре, расположенном в поселке Маркушкинское. Предметы, похожие на оружие, находились в хозяйственной сумке, перевязанной скотчем и ремнями. Полиция уже направила находку на экспертизу, которая окончательно установит, относятся ли изъятые образцы к огнестрельному боевому оружию. При проверках пересылок регулярно изымаются предметы и вещества, оборот которых ограничен или полностью запрещен.— Довольно часто мы сталкивается с попыткой переслать по почте наркотики и их прекурсоры, речь может идти и о международных отправлениях, — рассказал «Известиям» источник в полиции. — Еще несколько лет назад распространение получила пересылка стрелкового оружия по частям, часто таким образом пытались доставлять пистолеты западных марок для последующей сборки и реализации в России. В некоторых случаях изготавливались документы о том, что оружие охолощенное. По его словам, еще одна категория товаров, которые пытаются нелегально доставить почтой, — «шпионское» оборудование.;Публицистический стиль
;
В четверг правительство Великобритании внесло в парламент проект закона об онлайн-безопасности. Он ужесточает требования к технологическим компаниям в том, что касается распространяемого ими контента. По замыслу властей, закон должен препятствовать распространению в интернете вредного содержания, например порнографии, кибербуллинга, мошеннического контента или материалов, способствующих суициду или нанесению увечий самому себе.На соцсети и другие технологические компании возлагается ответственность за поиск и удаление подобного контента. Невыполнение этого требования может караться штрафом на сумму до 10% их оборота или блокировкой, а их топ-менеджерам грозит уголовная ответственность и лишение свободы на срок до двух лет.Первая версия законопроекта была подготовлена еще в 2019 году правительством Терезы Мэй. В мае прошлого года была опубликована очередная версия, в которую с тех пор также были внесены дополнения. Особенно активно за скорейшее принятие законопроекта выступает Лейбористская партия. Правительство Бориса Джонсона, по мнению некоторых экспертов, подготовило компромиссный вариант, призванный сочетать довольно жесткие правила по регулированию контента со свободой самовыражения. Так что итоговый результат может не устроить ни сторонников жестких ограничений в интернете, ни технологические компании и тех, кто считает такие нормы ограничением свободы слова.;Публицистический стиль
;
Кандидат в мэры от ЛДПР, депутат Госдумы Михаил Дегтярев подал в Мосгорсуд иск о снятии с выборов мэра Москвы депутата Мосгордумы Михаила Балакина (выдвигается от партии «Союз горожан»). В своем иске (есть у “Ъ”) господин Дегтярев утверждает, что господин Балакин подал в Мосгоризбирком (МГИК) только 106 «надлежаще оформленных» подписей муниципальных депутатов при необходимых 110 (в 100 районах). Кандидат ЛДПР отмечает, что на листах поддержки с подписями депутатов Антона Гришина (Зюзино) и Ольги Симоновой (Раменки) «отсутствует информация о наименовании муниципального образования». Сведения о депутате Дмитрии Семенове (Зябликово) «содержат неоговоренные исправления в части, содержащей сведения о дате рождения депутата», а в листах поддержки с подписями депутатов Владислава Резкова (Донской), Татьяны Аникиной (Южное Бутово) и Раисы Фотиной (Кленовское) «указаны наименования несуществующих в Москве представительных органов местного самоуправления». Михаил Дегтярев просит суд провести повторную проверку подписей, признать незаконным и отменить решение МГИК о регистрации Михаила Балакина. В своем Telegram-канале господин Дегтярев пояснил, что «подал иск по поручению председателя ЛДПР Владимира Жириновского». Он отмечает, что господин Балакин был избран в Мосгордуму от ЛДПР (Михаил Балакин не состоит в партии). «Мы брали его как опытного строителя, а он оказался политическим мошенником»,— написал господин Дегтярев. Напомним, господин Жириновский 13 июля писал мэру Москвы Сергею Собянину письмо с просьбой «оказать содействие в отказе в регистрации» господину Балакину, так как его выдвижение дискредитирует ЛДПР.;Публицистический стиль
;
Американский боец Джеффри Монсон, в июне выдвинувшийся от «Единой России» в городскую думу Красногорска, проделал в России довольно длинный политический путь. В 2013 году он записывал видео в поддержку антифашиста Алексея Гаскарова, затем примкнул к КПРФ, фотографировался в футболке с Лениным и выходил на поединок под гимн СССР. Сейчас Джефф Монсон живет в подмосковном Красногорске с русской женой и тренирует детей в спортивном центре. В начале августа на YouTube-канале волонтерского движения «А. Ю.Ready» в поддержку губернатора Московской области Андрея Воробьева появилось видео с провокационным названием «Джефф Монсон напал на жителя Красногорска». Оно начинается со спора нескольких мужчин, один из которых выкинул мусор из автомобиля на обочину и пытается уехать. Неожиданно перед спорщиками появляется знаменитый боец ММА, антифашист Монсон и говорит: «Нельзя мусорить, мы за чистое Подмосковье!» Этого аргумента от невысокого, но накачанного бойца в татуировках оказывается вполне достаточно: провинившийся мужчина забирает мешок с мусором и уезжает, а на экране появляется надпись «Голосуй за чистое Подмосковье».В другом ролике Джефф Монсон высказывается в поддержку Андрея Воробьева на выборах и сетует на обилие мусора в Подмосковье, с которым губернатор, по мнению бойца, пытается бороться.;Публицистический стиль
;
Председатель Центризбиркома Элла Памфилова советует КПРФ активнее заниматься регистрацией инициативных групп по пенсионному референдуму. По ее словам, пока партия зарегистрировала только две группы — в Алтайском крае и Иркутской области. «Сейчас у них есть возможность (организовать референдум), если они не проспят и быстренько будут развивать там свои инициативные группы, им не надо больше в ЦИК обращаться... Если они выполнят все процедуры, их просто будут автоматически регистрировать под этот вопрос»,— цитирует госпожу Памфилову ТАСС. «Прежде чем априори обвинять власть и домышлять о всяких кознях, сначала доведите до ума первый этап»,— добавила она.На данный момент ЦИК одобрил вопросы пяти разных инициативных групп. Их сформулировали КПРФ, группа кандидата в мэры Москвы от «Справедливой России» Ильи Свиридова, Всероссийский союз общественных организаций по работе с многодетными семьями из Подмосковья, а также группы из Нижегородской и Вологодской областей.Каждый из инициаторов должен образовать региональные подгруппы минимум в 43 регионах, после этого он может быть допущен к сбору подписей — всего необходимо 2 млн. При этом региональные избиркомы не могут регистрировать несколько инициативных подгрупп референдума по схожим вопросам. Пока коммунисты остаются в меньшинстве по числу зарегистрированных подгрупп.;Публицистический стиль
;
Объединенная авиастроительная корпорация (ОАК) планирует заключить новый контракт на поставку Минобороны России самолетов Ил-112В в 2019 году. «По имеющемуся контракту с Минобороны помимо создания одной машины в рамках ОКР (опытно-конструкторских работ.) мы еще должны построить две машины в рамках начальной партии. И мы в этом году запустим производство этих самолетов. А контракт, думаю, подпишем в следующем году»,— сообщил президент ОАК Юрий Слюсарь в интервью газете «Ведомости».По словам господина Слюсаря, первый экземпляр военно-транспортного самолета Ил-112В находится в цехе окончательной сборки, ведется отработка его систем. Осенью начнутся его наземные испытания. Президент ОАК уточнил, что работа над Ил-112В идет «непросто», но заверил, что все требования военных будут выполнены.Ил-112В проектировался еще в 1990-х годах, но работа прервалась из-за нехватки денег. В декабре 2014 года Минобороны и «Ильюшин», входящий в ОАК, подписали договор на разработку самолета, который предназначен для транспортировки и воздушного десантирования до 5 тонн грузов и личного состава.;Публицистический стиль
;
Кандидат в мэры Москвы от КПРФ Вадим Кумин представил свою предвыборную программу, в которой предлагается увеличить пенсии горожанам до 24 тыс. руб., а программу реновации «пересмотреть». Вчера же прошли первые дебаты кандидатов в мэры, на которых господин Кумин и кандидат от ЛДПР Михаил Дегтярев критиковали работу департамента транспорта Москвы. Обсудили кандидаты и проведение референдума по вопросу повышения пенсионного возраста. Вадим Кумин представил свою предвыборную программу «План Вадима Кумина» вместе с лидером КПРФ Геннадием Зюгановым и экс-кандидатом в президенты, директором Совхоза имени Ленина Павлом Грудининым. Господин Зюганов считает, что кампания господина Кумина «проходит энергично». «В Совхозе имени Ленина мы построили территорию социального оптимизма»,— заявил Павел Грудинин, призвав построить такую же в Москве. При этом он сообщил, что придет на выборы и проголосует за Вадима Кумина, так как теперь «прописан в Москве». Господин Кумин заявил, что «правительство Москвы ничего нового не предлагает» и «идет по пути коммерциализации в градостроительной и транспортной политике, в медицине и здравоохранении». В его программе говорится, что бюджет столицы составляет 2,3 трлн руб., но «эти деньги направлены не во благо москвичей, а тратятся на различные украшательства» и «только коммунисты намерены полностью избавить город от коррупционных схем».;Публицистический стиль
;
Затрагивается в его программе и пенсионная реформа, против которой выступает КПРФ и пытается инициировать всероссийский референдум по вопросу повышения пенсионного возраста. Кандидат Кумин обещает, что «сделает все для того, чтобы пенсионеры Москвы не пострадали»: увеличит пенсии до 24 тыс. руб., для чего потребуется 7% из московского бюджета. Студентка Российского университета дружбы народов Анжелика Соловьева попросила Геннадия Зюганова прокомментировать слова спикера Госдумы Вячеслава Володина о том, что государственные пенсии в РФ могут быть отменены, если не будет проведена пенсионная реформа. На это лидер партии ответил, что «более циничного закона за последние 25 лет» не видел, призвав граждан выходить на митинги против реформы. Затронул Вадим Кумин еще одну резонансную тему: он предложил «пересмотреть программу реновации», включить в нее нежилые помещения и решить проблемы дольщиков за пять лет. Взносы на капремонт господин Кумин собирается снизить в три раза, а для бюджетников, молодых семей, пенсионеров ввести льготы на ЖКУ. Раскритиковал коммунист и устройство городского управления. Он отметил, что в правительстве Москвы работает 19,7 тыс. человек, а на содержание аппарата уходит «не менее 2,5 млрд руб.». Поэтому кандидат предлагает «передать реальные полномочия по управлению на муниципальный уровень», сократить аппарат правительства Москвы.;Публицистический стиль
;
Псковскую область ее бывший губернатор Андрей Турчак, уходя на повышение, оставил в политически нестабильном состоянии. Однако, несмотря на наличие сильной оппозиции и разнонаправленных интересов элитных групп, реальных конкурентов на выборах у врио губернатора Михаила Ведерникова не будет. За тем, как выходец из администрации президента (АП) на посту главы региона продолжает начинания своего предшественника. Четверо конкурентов Михаила Ведерникова по очереди выступают на заседании дискуссионного клуба, который для них организовал штаб самого врио губернатора. «Я не собираюсь заниматься популизмом и говорить, что одержу победу на выборах. Победой для меня будет уверенное второе место»,— объявляет кандидат от ЛДПР, депутат областного заксобрания Антон Минаков. «Мы рассчитываем добиться второго тура»,— говорит лидер региональной КПРФ, выдвинувшей конкурировать с властью человека, встроенного в систему власти,— областного бизнес-омбудсмена Аркадия Мурылева. «Для нашей партии это в принципе первые выборы, и сразу губернаторские»,— смущенно говорит кандидат от Партии пенсионеров Сергей Кулаков, смущаясь еще сильнее, когда его просят рассказать о недостатках Михаила Ведерникова. Кандидат от Партии роста Игорь Романов вместо ответа на вопрос о перспективах своего участия в выборах долго рассуждает о борьбе с борщевиком. Примерно такой же силы конкуренты боролись в 2014 году с экс-главой Псковской области Андреем Турчаком. Тогда тоже подписи муниципальных депутатов сумел собрать кандидат от непарламентского «Правого дела», а лидер псковского «Яблока» Лев Шлосберг, будучи депутатом заксобрания, фильтр не прошел.;Публицистический стиль
;
«Я с каждым днем убеждаюсь, что поступил правильно, поддержав Михаила Ведерникова»,— выступает на заседании дискуссионного клуба лидер областной «Справедливой России» Олег Брячак. Ему напоминают, что его выступление расходится с темой обсуждения, но он намерен договорить: «Давайте посмотрим последние факты. Ведерников 500 млн руб. на фасады выбил? Выбил. На подсветку несколько десятков миллионов выбил, на ремонт крыш — тоже выбил. Вот поэтому я и не стал выдвигаться».Еще два года назад Олег Брячак ставил под окнами кабинета главы Псковской области баннеры «Турчака в отставку». Теперь историю противостояния с прежним губернатором господин Брячак использует, чтобы подчеркнуть искренность поддержки губернатора нового. Конфликт Олега Брячака с Андреем Турчаком носил в том числе коммерческий характер: к моменту смены областной власти лидер справороссов, в прошлом успешный предприниматель, потерял бизнес и стал фигурантом четырех уголовных дел. Сейчас благосостояние Олега Брячака зависит от городских и областных властей: ему необходимо разрешение на застройку принадлежащего ему участка. На протяжении нескольких месяцев после назначения Михаила Ведерникова Олег Брячак демонстрировал готовность выступить в качестве единого кандидата в губернаторы от «Справедливой России» и КПРФ, но от участия в выборах отказался. Он заверил “Ъ”, что счел такую стратегию более рациональной, и в обмен на поддержку ничего у врио губернатора не просил. «Решение поддержать меня Олег Брячак принял самостоятельно, переговоров об этом мы с ним не вели»,— утверждает Михаил Ведерников.;Публицистический стиль
;
Дирекция по проведению Года добровольца завершила прием заявок на конкурс «Добровольцы России», победители которого получат гранты до 1 млн руб. По словам главы Роспатриотцентра Ксении Разуваевой, позже эти проекты могут поддержать в том числе профильные министерства. По мнению политолога, подобными конкурсами «власть старается переложить свои социальные обязательства на активную часть населения».Дирекция Года добровольца завершила прием заявок на конкурс «Добровольцы России», который стартовал 20 марта. Он проходит во второй раз и назван организаторами «главным инструментом продвижения лучших волонтерских практик». В этом году на конкурс подали около 12 тыс. проектов, что в семь раз больше по сравнению с прошлым годом, рассказал “Ъ” координатор по медиасопровождению Года добровольца Антон Пашков. По его словам, среди 13 номинаций самыми популярными оказались «Помощь детям», «Рожденные помогать» (помощь инвалидам, пожилым одиноким людям) и «Вокруг меня» (помощь в благоустройстве и экологии). Самыми активными регионами стали Республика Адыгея, Башкирия, Приморский край и Ростовская область. Несмотря на то, что по правилам конкурса принять участие в нем мог любой человек в возрасте от восьми лет, по словам Антона Пашкова, «преимущественно на конкурс подавали заявки уже существующие волонтерские организации или волонтеры 20–25 лет».;Публицистический стиль
;
Шесть лет назад в стране создали специальную парламентскую комиссию для подсчета суммы выплат. Осенью 2022 года Варшава впервые назвала официальную сумму — $1,3 трлн. Польские власти при этом отметили, что «Германия в состоянии ее заплатить». Берлин категорически отказывается что-то платить, заявляя, что свои обязательства выполнил еще в середине 1950-х годов и Польша это официально признала. Кроме этого, отказ Варшавы от каких-либо репараций зафиксирован в 1990 году — в международном договоре об окончательном урегулировании в отношении Германии. Его подписали главы внешнеполитических ведомств Британии, ГДР, СССР, США, ФРГ, Франции.Помимо этого, в начале 1990-х годов немецкие власти направили Варшаве 500 млн марок в качестве компенсации и около 2 млрд марок для узников концлагерей и жертв нацистских программ принудительного труда. С тех пор официальная позиция Берлина не изменилась. В конце апреля Польша внесла в Совет ЕС резолюцию о персональных компенсациях для семей и родственников жертв от ФРГ за ущерб во Второй мировой войне. До этого Варшава обращалась в Совет Европы с просьбой помочь получить от Германии компенсации. В Берлине в очередной раз подчеркнули, что поставили точку в вопросе выплат репараций.;Публицистический стиль
;
"В первом квартале 2019 года должны состояться три запуска ракет-носителей «Протон-М», сообщает «РИА Новости» со ссылкой на источник в ракетно-космической отрасли. Точные даты запусков он не назвал.«Планируется три пуска — коммерческий запуск двух спутников Eutelsat 5 WestB и MEV-1, коммерческий запуск российского телекоммуникационного аппарата ""Ямал-601"" и запуск военного спутника связи ""Благовест"" №4»,— заявил собеседник агентства.Он добавил, что приоритет по срокам пуска отдают «Благовесту», но, в случае задержек с его изготовлением или поставкой на космодром, график запусков будут составлять исходя из готовности аппаратов.В 2018 году «Протон-М» стартовал один раз — 19 апреля со вторым военным спутником «Благовест». Как утверждал источник «РИА Новости», 22 декабря может состояться еще один пуск ракеты-носителя.Напомним, 22 июня гендиректор «Роскосмоса» Дмитрий Рогозин сообщил, что поставил задачу прекратить производство ракет-носителей «Протон» после выполнения имеющихся контрактов. В НПО «Энергомаш» заявили, что изготовление двигателей для «Протон-М» прекратится до конца 2018 года. По данным, новая администрация «Роскосмоса» рассчитывает прекратить выпуск «Протонов» к 2021 году.";Публицистический стиль
;
После голосования на выборах мэра Москвы 9 сентября молодые москвичи смогут бесплатно посетить концерты в «Олимпийском», на которых выступят популярные исполнители. Среди них — певица Полина Гагарина, рэпер Кравц и представители лейбла Black Star. По словам председателя Мосгоризбиркома (МГИК) Валентина Горбунова, это традиционный для столицы способ «поощрить» молодых избирателей: аналогичные концерты комиссия уже организовывала на президентских выборах 2018 года. По словам эксперта, концерты призваны повысить явку и число голосов за действующего мэра Сергея Собянина. Для молодых москвичей до 30 лет, которые примут участие в выборах мэра Москвы 9 сентября, МГИК организует серию концертов в «Олимпийском», которые пройдут 20, 21 и 22 сентября. Как заявил вчера на пресс-конференции глава Мосгоризбиркома Валентин Горбунов, концерты «призваны вовлечь в выборы молодежь» и «поощрить молодых избирателей». Ранее заместитель руководителя штаба действующего мэра Сергея Собянина, глава исполкома московского отделения «Единой России» Олег Смолкин говорил, что для этой кампании «крайне важна явка».По словам господина Горбунова, на концерте выступят «самые авторитетные молодежные исполнители»: певица Полина Гагарина, рэпер Кравц (Павел Кравцов), группа SEREBRO, рэпер Джиган (Денис Устименко-Вайнштейн из лейбла Black Star). Концерты будут аналогичны тем, что МГИК устраивал для молодежи на президентских выборах 18 марта: впервые проголосовавшим жителям Москвы на избирательных участках выдавали флаеры, по которым они могли посетить один из трех концертов. Глава МГИКа подтвердил, что «музыканты решили повторить удачный опыт» и «сами выступили с такой инициативой». Как и в прошлый раз, артисты выступят в «Олимпийском» безвозмездно. Как сказал господин Горбунов, технические расходы возьмут на себя МГИК и правительство Москвы. В «Олимпийском» подтвердили, что ведут переговоры с организаторами о заключении контракта.;Публицистический стиль
;
Тема пенсионной реформы стала ключевой в агитационных кампаниях КПРФ и «Справедливой России» в большинстве выборных регионов. В некоторых регионах коммунисты проведут шествия «Позорный полк» и «Позорная рота» — они пронесут по улицам портреты депутатов, поддержавших реформу. Единороссы, напротив, стараются пенсионной темы избегать. Политолог отметил, что впервые за несколько лет на региональных выборах у системных оппозиционных партий появилась настоящая «протестная тематика». На выборах губернаторов и заксобраний, которые пройдут 9 сентября, наиболее активно в агитации тему пенсионной реформы используют коммунисты и справороссы. 2 сентября в городах Приморья пройдут акции, организованные депутатом заксобрания от Компартии, кандидатом на пост главы края Андреем Ищенко, названные «Позорная рота». В ходе акций участники пронесут портреты депутатов различных уровней, поддержавших повышение пенсионного возраста. Врио губернатора, кандидат от «Единой России» Андрей Тарасенко пенсионную реформу также поддержал. Похожую акцию 2 сентября проведут свердловские и магаданские коммунисты. Она названа «Позорный полк», организаторы планируют пронести портреты депутатов Госдумы от этих регионов, голосовавших за повышение пенсионного возраста.;Публицистический стиль
;
Врио губернаторов тему пенсионной реформы стараются избегать. Осторожную критику вскоре после объявления реформы позволил себе только врио омского губернатора справоросс Александр Бурков (баллотируется как самовыдвиженец). 3 июля в эфире правительственного «12 канала» он прокомментировал повышение пенсионного возраста, заявив, что «нужно услышать мнение населения и мнение экспертов, а потом уже подходить к резонансной теме». «Я областному правительству дал поручение предоставить мне полную статистику, чтобы мы понимали в цифрах, что этот закон несет. Должно быть детальное обсуждение с привлечением всех партий, общественных организаций, и каждый выскажет свое мнение по этой реформе. А дальше мы направим информацию депутатам Госдумы, чтобы они мнение омичей учитывали при рассмотрении этого проекта»,— цитирует его БК55. Законопроект о повышении пенсионного возраста был принят Госдумой в первом чтении 19 июля. Накануне Александр Бурков в эфире местного телеканала сообщил: «Я, как врио губернатора, и председатель заксобрания Варнавский не дали положительного заключения по пенсионной реформе». После этого к пенсионной теме он не возвращался. В свою очередь, местные коммунисты объясняли, что поддержали на выборах Александра Буркова потому, что он не пойдет на непопулярные реформы. «Судя по тому, что нам сказал губернатор, он не поддерживает пенсионную реформу. Не разделяет этой идеологии»,— заявлял первый секретарь омского обкома КПРФ Александр Кравец.;Публицистический стиль
;
"Глава Калмыкии Алексей Орлов (выдвинут «Единой Россией») сам заговорил о повышении пенсионного возраста на пресс-конференции в Элисте, указав, что реформа нужна, но нужно рассматривать различные варианты ее исполнения с соблюдением гарантий для работников предпенсионного возраста.Кандидаты от «Единой России», напротив, стараются пенсионной темы избегать. «Руководство ""Единой России"" заинтересовано в разъяснительной работе по пенсионной реформе, но на местах это не воспринимается,— говорит источник в одном из отделений партии.— До 10 сентября в выборных регионах этой темы не хотят касаться ни кандидаты, ни люди, отвечающие за результат: они с опаской смотрят на падение рейтинга партии в центре». Согласно последнему опросу ВЦИОМа, рейтинг партии власти упал до 32%.В магаданском отделении КПРФ идет сбор подписей за отзыв депутата Госдумы от региона Оксаны Бондарь («Единая Россия»). Партийцы возмущены тем, что она проголосовала за повышение пенсионного возраста. Кандидат в губернаторы от КПРФ Валентина Дорошевич пояснила: «Речь идет о пенсионной реформе в частности и о доверии к депутату, представляющему регион, в целом. Мы хотим добиться изменений в законе о статусе члена Совета федерации и депутата Госдумы. Избиратели не имеют права отозвать депутата, который действует против их интересов». Подписи будут собирать несколько месяцев, после чего их направят в Госдуму.";Публицистический стиль
;
Бабушкинский суд Москвы арестовал бывшего генерального директора НПО им. Лавочкина Сергея Лемешевского. «Избрать в отношении Лемешевского меру пресечения в виде заключения под стражу на срок до 19 сентября включительно»,— цитирует «Интерфакс» решение судьи.Ранее Мосгорсуд, не нашедший оснований для заключения господина Лемешевского под стражу, вернул дело в суд первой инстанции. При повторном рассмотрении суд не нашел оснований для избрания ему более мягкой меры пресечения.Сергей Лемешевский, обвиняемый в хищении средств госкорпорации «Роскосмос, был арестован 26 июля. Вместе с ним по делу о мошенничестве проходят руководитель дирекции НПО им. Лавочкина Екатерина Аверьянова и глава адвокатской конторы «Третьяков и партнеры» Игорь Третьяков. Нанесенный ими ущерб оценивается в 332,5 млн руб.;Публицистический стиль
